Designator,Mid X,Mid Y,Layer,Rotation
C1,39.37,83.82,Top,90.0
C2,22.86,30.48,Top,270.0
C3,39.37,46.99,Top,90.0
C4,22.86,11.43,Top,90.0
C5,39.37,100.33,Top,270.0
C6,39.37,64.77,Top,270.0
C7,39.37,30.48,Top,270.0
C9,22.86,83.82,Top,90.0
C10,22.86,46.99,Top,90.0
C11,22.86,100.33,Top,270.0
C12,22.86,64.77,Top,270.0
D1,31.75,108.59,Top,0.0
FD1, 5.08,110.49,Top,0.0
FD3,45.72, 1.27,Top,0.0
J1, 1.27,11.43,Top,270.0
J2,49.53,11.43,Top,90.0
J3,49.53,87.63,Top,90.0
J4,49.53,74.93,Top,90.0
J5,49.53,62.23,Top,90.0
J6,49.53,49.53,Top,90.0
J7,49.53,24.13,Top,90.0
J8,49.53,36.83,Top,90.0
J9, 1.27,87.63,Top,270.0
J10, 1.27,100.33,Top,270.0
J11, 1.27,62.23,Top,270.0
J12, 1.27,36.83,Top,270.0
J13,49.53,100.33,Top,90.0
J14, 1.27,74.93,Top,270.0
J15, 1.27,49.53,Top,270.0
J16, 1.27,24.13,Top,270.0
R1,35.56,71.12,Top,90.0
R2,33.02,71.12,Top,90.0
R3,30.48,71.12,Top,90.0
R4,27.94,71.12,Top,90.0
R5,27.94,58.42,Top,270.0
R6,30.48,58.42,Top,270.0
R7,33.02,58.42,Top,270.0
R8,35.56,58.42,Top,270.0
R9,19.05,106.68,Top,90.0
R10,35.56,36.83,Top,90.0
R11,33.02,36.83,Top,90.0
R12,30.48,36.83,Top,90.0
R13,27.94,36.83,Top,90.0
R14,27.94,24.13,Top,270.0
R15,30.48,24.13,Top,270.0
R16,33.02,24.13,Top,270.0
R17,35.56,24.13,Top,270.0
R18,16.51,106.68,Top,90.0
R19,13.97,106.68,Top,90.0
R20,11.43,106.68,Top,90.0
R21,11.43,93.98,Top,270.0
R22,13.97,93.98,Top,270.0
R23,16.51,93.98,Top,270.0
R24,19.05,93.98,Top,270.0
R25,19.05,71.12,Top,90.0
R26,16.51,71.12,Top,90.0
R27,13.97,71.12,Top,90.0
R28,19.05,36.83,Top,90.0
R29,11.43,71.12,Top,90.0
R30,11.43,58.42,Top,270.0
R31,13.97,58.42,Top,270.0
R32,16.51,58.42,Top,270.0
R33,19.05,58.42,Top,270.0
R34,27.94,77.47,Top,270.0
R35,30.48,77.47,Top,270.0
R36,33.02,77.47,Top,270.0
R37,15.24,16.51,Top,180.0
R38,15.24,52.07,Top,180.0
R39,15.24,88.90,Top,180.0
R40,31.75,52.07,Top,180.0
R41,31.75,88.90,Top,180.0
R42,16.51,36.83,Top,90.0
R43,13.97,36.83,Top,90.0
R44,11.43,36.83,Top,90.0
R45,11.43,24.13,Top,270.0
R46,13.97,24.13,Top,270.0
R47,16.51,24.13,Top,270.0
R48,19.05,24.13,Top,270.0
R49,31.75,106.68,Top,0.0
U1,15.24,30.48,Top,180.0
U2,31.75,46.99,Top,180.0
U3,31.75,83.82,Top,180.0
U4,31.75,100.33,Top,180.0
U5,31.75,64.77,Top,180.0
U6,31.75,30.48,Top,180.0
U7,15.24,83.82,Top,180.0
U8,15.24,46.99,Top,180.0
U9,15.24,100.33,Top,180.0
U10,15.24,64.77,Top,180.0
U11,15.24,11.43,Top,180.0
